Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2019-02-11,-1.276713,-5.133745,0.3116788089353039
2019-02-12,0.295837,-0.599818,0.4031779059537286
2019-02-13,-0.589376,4.198503,0.3068721816407895
2019-02-14,-0.393518,-3.365482,0.3697170579910764
2019-02-15,0.095163,1.145149,0.3828285870668597
2019-02-16,0.401556,1.669596,0.3929244389280613
2019-02-17,1.114033,4.005646,0.41459402776670995
2019-02-18,6.655404,2.977521,0.42105619374681647
2019-02-19,0.905826,-3.176548,0.4315286565969278
2019-02-20,1.346332,1.721877,0.4476177002848967
2019-02-21,-1.153393,-4.427793,0.46520449765672095
2019-02-22,1.343994,1.652646,0.4631067716172481
2019-02-23,3.591238,2.297148,0.46949287549113855
2019-02-24,-8.08187,-11.343705,0.5737608227549774
2019-02-25,1.988279,15.0828,0.5596070861010557
2019-02-26,-0.627514,-7.473495,0.5607462143859956
2019-02-27,-0.166751,-1.60361,0.5472781293172906
2019-02-28,0.169516,-0.868806,0.6000075648060382
2019-03-01,0.151194,1.070898,0.6222519273270373
2019-03-02,0.235958,-0.762285,0.6317662617292076
2019-03-03,-0.390712,-0.631347,0.6495681216347245
2019-03-04,-2.172495,-3.544493,0.6595891270593793
2019-03-05,3.631611,6.130614,0.6687687342852554
2019-03-06,0.17607,-0.234041,0.6682969415044009
2019-03-07,0.207502,5.269822,0.6773339413076106
2019-03-08,-0.309061,2.22876,0.6631535273961412
2019-03-09,1.765575,2.538021,0.6661124784375451
2019-03-10,-0.367469,5.026652,0.606580709676463
2019-03-11,-1.227014,-6.930681,0.6301748101488838
2019-03-12,0.138276,4.171311,0.6278863496205824
2019-03-13,-0.161769,-0.81638,0.6210500712822241
2019-03-14,0.481164,1.367467,0.6217718495160401
2019-03-15,0.872186,-0.103137,0.63816280673818
2019-03-16,2.139955,-0.923032,0.622337994900027
2019-03-17,-0.555633,-0.402972,0.6238339900223463
2019-03-18,0.062998,-0.726105,0.6248927604389384
2019-03-19,0.954655,0.985317,0.6243951497453519
2019-03-20,0.409806,0.196236,0.6649260976546778
2019-03-21,-1.3376,-5.092424,0.6889786238465558
2019-03-22,-0.112855,1.295829,0.6860757041989367
2019-03-23,0.325975,-0.674347,0.679733383839616
2019-03-24,-0.322053,-1.463562,0.67926652193104
2019-03-25,-1.516912,4.208643,0.6549332082234062
2019-03-26,0.399374,-2.441076,0.5260751343283973
2019-03-27,2.580697,7.70366,0.5394836491792274
2019-03-28,-0.452035,0.68817,0.5348113194861694
2019-03-29,0.739245,-0.785957,0.5226332264201009
2019-03-30,0.354923,-0.941128,0.5198499441456551
2019-03-31,-0.001261,2.697872,0.511858924754061
2019-04-01,1.286629,9.299117,0.5264964051910026
2019-04-02,17.391689,5.131527,0.3768860695738752
2019-04-03,1.907065,-3.109828,0.3299249919358824
2019-04-04,-0.975775,-3.938375,0.31900025570571056
2019-04-05,2.313213,6.550001,0.32668004473291135
2019-04-06,0.457124,-1.29555,0.3440489685454745
2019-04-07,2.688299,1.313827,0.3517722064610543
2019-04-08,1.729584,-1.495666,0.34261347717464485
2019-04-09,-1.606064,-6.014946,0.39435286440843503
2019-04-10,2.314448,-2.654357,0.3600887861096619
2019-04-11,-4.893704,-6.690127,0.44590244427734854
2019-04-12,0.559914,2.050905,0.44038297095960355
2019-04-13,0.152025,8.85768,0.3901722668947877
2019-04-14,1.412221,-1.961004,0.3851518035752689
2019-04-15,-1.939368,-6.90812,0.4130943314267214
2019-04-16,3.335228,2.267124,0.41896234818930966
2019-04-17,0.301801,-0.551266,0.41851386493742354
2019-04-18,0.893182,4.905977,0.41008890552935656
2019-04-19,0.106796,-1.841883,0.41200099961677783
2019-04-20,0.635833,0.232085,0.397579942486753
2019-04-21,-0.400078,-3.109615,0.40634645611135234
2019-04-22,1.635213,-0.537702,0.4036736006656187
2019-04-23,3.204017,-2.8614,0.37896418794507086
2019-04-24,-1.914053,-0.658385,0.41344667337617236
2019-04-25,-4.683209,-6.852274,0.4613570201956438
2019-04-26,1.325133,-1.930079,0.45849228310793766
2019-04-27,-0.211767,1.006702,0.4582504248311475
2019-04-28,0.254044,1.516569,0.4537615360229115
2019-04-29,-0.709685,-3.395735,0.4586778121942886
2019-04-30,1.962764,9.062289,0.4535650920602252
2019-05-01,0.967736,0.520736,0.48471677784881667
2019-05-02,1.903976,-2.65308,0.5101966091564545
2019-05-03,4.772224,10.506136,0.6112981784568382
2019-05-04,1.074063,-3.352438,0.5918334576885405
2019-05-05,-0.606405,2.391041,0.5599816438307411
2019-05-06,-0.77501,14.160918,0.4204591997642265
2019-05-07,1.460289,-5.885401,0.389539149541249
2019-05-08,2.273297,8.703254,0.42514325730739366
2019-05-09,3.21301,8.1672,0.43707460511389906
2019-05-10,3.287438,5.002246,0.478661489192062
2019-05-11,12.933347,1.084069,0.2643385581456537
2019-05-12,-3.208656,-3.306446,0.2944445789467018
2019-05-13,12.103217,-1.716287,0.2185173363440438
2019-05-14,2.389018,27.25467,0.19121273304919814
2019-05-15,2.701006,2.481272,0.15685183921468868
2019-05-16,-3.778043,9.663143,0.09503708313403887
2019-05-17,-6.885196,-4.179903,0.14728397218866152
2019-05-18,-0.959681,5.229395,0.139470616961876
2019-05-19,12.79212,6.27201,0.16668018427896678
2019-05-20,-2.667034,13.583133,0.10983483555534208
2019-05-21,-0.183525,6.115452,0.09402369893246794
2019-05-22,-3.471788,3.04905,0.09464308126557587
2019-05-23,2.664719,9.981653,0.11630618936667142
2019-05-24,1.340781,-0.548087,0.10271421486303212
2019-05-25,0.759004,-15.531349,0.048598750369086265
2019-05-26,7.672178,-3.551609,0.005735020985916242
2019-05-27,1.518388,11.358976,-0.0011437445470740978
2019-05-28,-0.940568,5.267281,-0.008182826460315816
2019-05-29,-0.677913,-7.234202,0.0003877102740598174
2019-05-30,-3.951715,-13.478001,0.07853228631873774
2019-05-31,3.055374,-0.315289,0.07309053360063542
2019-06-01,-0.114572,-5.594409,0.08573263464886462
2019-06-02,2.072091,4.901092,0.06739488558924892
